"SchemeCode","CritCode"
"200,215","6,103"
"200,215","6,600"
"200,215","7,100"
"200,215","8,100"
"200,218",8
"200,218",11
"200,218",12
"200,218","4,006"
"200,218","4,026"
"200,218","4,045"
"200,218","4,157"
"200,218","4,185"
"200,218","5,005"
"200,218","5,025"
"200,218","5,043"
"200,218","5,214"
"200,218","6,103"
"200,218","6,600"
"200,218","7,100"
"200,218","8,103"
"200,219",1
"200,219","4,000"
"200,219","5,164"
"200,219","5,185"
"200,226",1
"200,226","4,076"
"200,226","4,174"
"200,226","4,195"
"200,226","5,164"
"200,233",74
"200,233","4,000"
"200,233","5,000"
"200,233","6,103"
"200,233","6,600"
"200,233","7,100"
"200,233","8,100"
"200,235",31
"200,235","4,006"
"200,235","4,045"
"200,235","4,049"
"200,235","4,157"
"200,235","4,185"
"200,235","4,195"
"200,235","4,214"
"200,235","5,005"
"200,235","5,025"
"200,236",37
"200,236",50
"200,236",54
"200,236","4,000"
"200,236","5,005"
"200,236","5,024"
"200,236","5,025"
"200,236","5,026"
"200,236","5,043"
"200,236","5,046"
"200,236","5,076"
"200,236","5,133"
"200,236","5,161"
"200,236","5,164"
"200,236","5,167"
"200,236","5,196"
"200,236","5,214"
"200,236","5,235"
"200,236","5,245"
"200,236","6,103"
"200,236","6,600"
"200,236","7,100"
"200,236","8,100"
"200,242",21
"200,242","4,003"
"200,242","4,045"
"200,242","4,157"
"200,242","4,194"
"200,242","5,025"
"200,242","5,187"
"200,253",8
"200,253","4,000"
"200,253","5,005"
"200,253","5,024"
"200,253","5,025"
"200,253","5,026"
"200,253","5,043"
"200,253","5,044"
"200,253","5,164"
"200,253","5,184"
"200,253","5,196"
"200,253","5,245"
"200,253","6,100"
"200,253","6,601"
"200,253","6,602"
"200,253","7,100"
"200,253","8,100"
"200,263",26
"200,263",28
"200,263",43
"200,263",61
"200,263",71
"200,263","4,000"
"200,263","5,245"
"200,265",1
"200,265","4,174"
"200,265","4,195"
"200,265","5,074"
"200,267",8
"200,267",11
"200,267",12
"200,267",44
"200,267",68
"200,267","4,016"
"200,267","4,045"
"200,267","5,005"
"200,267","5,043"
"200,267","5,044"
"200,267","5,046"
"200,267","5,074"
"200,267","5,164"
"200,267","5,167"
"200,267","5,184"
"200,267","5,245"
"200,272",45
"200,272",48
"200,272",50
"200,272",70
"200,272","4,000"
"200,272","5,005"
"200,272","5,025"
"200,272","5,035"
"200,272","5,043"
"200,272","5,046"
"200,272","5,196"
"200,272","5,245"
"200,272","6,103"
"200,272","6,600"
"200,272","7,100"
"200,272","8,100"
"200,278",13
"200,278",25
"200,278",75
"200,278","4,000"
"200,278","5,164"
"200,278","5,167"
"200,295",1
"200,295","4,000"
"200,295","5,018"
"200,295","5,045"
"200,295","5,164"
"200,297",1
"200,297","4,195"
"200,297","5,164"
"200,307",21
"200,307","4,003"
"200,307","4,004"
"200,307","4,025"
"200,307","4,045"
"200,307","4,085"
"200,307","4,157"
"200,307","4,174"
"200,307","4,181"
"200,307","4,195"
"200,307","4,200"
"200,307","5,024"
"200,307","5,025"
"200,307","5,027"
"200,307","5,044"
"200,307","5,053"
"200,307","5,074"
"200,307","5,077"
"200,307","5,164"
"200,307","5,184"
"200,307","5,185"
"200,307","5,194"
"200,307","5,195"
"200,307","5,245"
"200,316",1
"200,316","4,045"
"200,316","4,195"
"200,316","4,197"
"200,316","4,200"
"200,316","4,201"
"200,316","5,164"
"200,326",2
"200,326","4,000"
"200,326","5,000"
"200,326","6,101"
"200,326","6,103"
"200,326","6,106"
"200,326","6,107"
"200,326","6,112"
"200,326","6,113"
"200,326","6,114"
"200,326","6,600"
"200,326","7,101"
"200,326","7,102"
"200,326","7,103"
"200,326","7,104"
"200,326","7,105"
